hindi_phrase,english_translation,category
नमस्ते,Hello,Greetings
नमस्कार,Greetings,Greetings
सुप्रभात,Good morning,Greetings
शुभ संध्या,Good evening,Greetings
शुभ रात्रि,Good night,Greetings
स्वागत है,Welcome,Greetings
अलविदा,Goodbye,Greetings
फिर मिलेंगे,See you again,Greetings
धन्यवाद,Thank you,Greetings
बहुत धन्यवाद,Thank you very much,Greetings
कृपया,Please,Greetings
क्षमा करें,Excuse me,Greetings
माफ़ कीजिए,I am sorry,Greetings
कोई बात नहीं,No problem,Greetings
हाँ,Yes,Greetings
नहीं,No,Greetings
शायद,Maybe,Greetings
ठीक है,Okay,Greetings
क्या हाल है,How are you,Greetings
मैं ठीक हूँ,I am fine,Greetings
आप कैसे हैं,How are you formal,Greetings
बहुत अच्छा,Very good,Greetings
मुझे खुशी हुई,Nice to meet you,Greetings
आपसे मिलकर अच्छा लगा,It was nice meeting you,Greetings
मेरा नाम है,My name is,Greetings
आपका नाम क्या है,What is your name,Greetings
मैं भारत से हूँ,I am from India,Greetings
आप कहाँ से हैं,Where are you from,Greetings
मुझे हिंदी आती है,I know Hindi,Greetings
मुझे थोड़ी हिंदी आती है,I know a little Hindi,Greetings
धीरे बोलिए,Please speak slowly,Greetings
फिर से कहिए,Please say again,Greetings
मैं समझ गया,I understood,Greetings
मैं नहीं समझा,I did not understand,Greetings
एक,One,Numbers
दो,Two,Numbers
तीन,Three,Numbers
चार,Four,Numbers
पाँच,Five,Numbers
छह,Six,Numbers
सात,Seven,Numbers
आठ,Eight,Numbers
नौ,Nine,Numbers
दस,Ten,Numbers
ग्यारह,Eleven,Numbers
बारह,Twelve,Numbers
तेरह,Thirteen,Numbers
चौदह,Fourteen,Numbers
पंद्रह,Fifteen,Numbers
सोलह,Sixteen,Numbers
सत्रह,Seventeen,Numbers
अठारह,Eighteen,Numbers
उन्नीस,Nineteen,Numbers
बीस,Twenty,Numbers
पच्चीस,Twenty five,Numbers
तीस,Thirty,Numbers
पैंतीस,Thirty five,Numbers
चालीस,Forty,Numbers
पैंतालीस,Forty five,Numbers
पचास,Fifty,Numbers
साठ,Sixty,Numbers
सत्तर,Seventy,Numbers
अस्सी,Eighty,Numbers
नब्बे,Ninety,Numbers
सौ,One hundred,Numbers
हज़ार,One thousand,Numbers
लाख,One hundred thousand,Numbers
करोड़,Ten million,Numbers
पहला,First,Numbers
दूसरा,Second,Numbers
तीसरा,Third,Numbers
आधा,Half,Numbers
पूरा,Full,Numbers
कुछ,Some,Numbers
बहुत,Many,Numbers
थोड़ा,A little,Numbers
सब,All,Numbers
कुछ नहीं,Nothing,Numbers
सोमवार,Monday,Time
मंगलवार,Tuesday,Time
बुधवार,Wednesday,Time
गुरुवार,Thursday,Time
शुक्रवार,Friday,Time
शनिवार,Saturday,Time
रविवार,Sunday,Time
आज,Today,Time
कल,Tomorrow,Time
बीता हुआ कल,Yesterday,Time
परसों,Day after tomorrow,Time
अभी,Now,Time
बाद में,Later,Time
जल्दी,Early,Time
देर से,Late,Time
सुबह,Morning,Time
दोपहर,Noon,Time
शाम,Evening,Time
रात,Night,Time
भोर,Dawn,Time
आधी रात,Midnight,Time
दिन,Day,Time
सप्ताह,Week,Time
महीना,Month,Time
साल,Year,Time
घंटा,Hour,Time
मिनट,Minute,Time
पल,Moment,Time
समय,Time,Time
समय क्या हुआ है,What time is it,Time
गर्मी का मौसम,Summer season,Time
सर्दी का मौसम,Winter season,Time
बरसात का मौसम,Rainy season,Time
वसंत ऋतु,Spring season,Time
हर दिन,Every day,Time
हर साल,Every year,Time
कभी कभी,Sometimes,Time
हमेशा,Always,Time
कभी नहीं,Never,Time
लाल,Red,Colors
नीला,Blue,Colors
पीला,Yellow,Colors
हरा,Green,Colors
काला,Black,Colors
सफेद,White,Colors
गुलाबी,Pink,Colors
नारंगी,Orange color,Colors
बैंगनी,Purple,Colors
भूरा,Brown,Colors
सुनहरा,Golden,Colors
चाँदी जैसा,Silver,Colors
गहरा रंग,Dark color,Colors
हल्का रंग,Light color,Colors
रंग बिरंगा,Colorful,Colors
सिर,Head,Body
बाल,Hair,Body
आँख,Eye,Body
कान,Ear,Body
नाक,Nose,Body
मुँह,Mouth,Body
दाँत,Teeth,Body
जीभ,Tongue,Body
गला,Throat,Body
गर्दन,Neck,Body
कंधा,Shoulder,Body
हाथ,Hand,Body
उँगली,Finger,Body
पेट,Stomach,Body
पीठ,Back,Body
पैर,Leg,Body
घुटना,Knee,Body
दिल,Heart,Body
दिमाग,Brain,Body
खून,Blood,Body
हड्डी,Bone,Body
त्वचा,Skin,Body
आवाज़,Voice,Body
साँस,Breath,Body
मुस्कान,Smile,Body
माता,Mother,Family
पिता,Father,Family
माँ,Mom,Family
पापा,Dad,Family
भाई,Brother,Family
बहन,Sister,Family
बड़ा भाई,Elder brother,Family
छोटी बहन,Younger sister,Family
दादा,Grandfather,Family
दादी,Grandmother,Family
नाना,Maternal grandfather,Family
नानी,Maternal grandmother,Family
बेटा,Son,Family
बेटी,Daughter,Family
पति,Husband,Family
पत्नी,Wife,Family
चाचा,Paternal uncle,Family
चाची,Paternal aunt,Family
मामा,Maternal uncle,Family
मामी,Maternal aunt,Family
भतीजा,Nephew,Family
भतीजी,Niece,Family
पोता,Grandson,Family
पोती,Granddaughter,Family
परिवार,Family,Family
रिश्तेदार,Relatives,Family
पड़ोसी,Neighbor,Family
दोस्त,Friend,Family
सबसे अच्छा दोस्त,Best friend,Family
मेहमान,Guest,Family
कुत्ता,Dog,Animals
बिल्ली,Cat,Animals
गाय,Cow,Animals
भैंस,Buffalo,Animals
बकरी,Goat,Animals
भेड़,Sheep,Animals
घोड़ा,Horse,Animals
हाथी,Elephant,Animals
शेर,Lion,Animals
बाघ,Tiger,Animals
बंदर,Monkey,Animals
भालू,Bear,Animals
हिरण,Deer,Animals
लोमड़ी,Fox,Animals
खरगोश,Rabbit,Animals
चूहा,Mouse,Animals
साँप,Snake,Animals
मछली,Fish,Animals
पक्षी,Bird,Animals
कौआ,Crow,Animals
तोता,Parrot,Animals
मोर,Peacock,Animals
कबूतर,Pigeon,Animals
मुर्गी,Hen,Animals
बत्तख,Duck,Animals
उल्लू,Owl,Animals
तितली,Butterfly,Animals
मधुमक्खी,Honeybee,Animals
चींटी,Ant,Animals
मकड़ी,Spider,Animals
मेंढक,Frog,Animals
कछुआ,Turtle,Animals
ऊँट,Camel,Animals
गधा,Donkey,Animals
जानवर,Animal,Animals
खाना,Food,Food
पानी,Water,Food
दूध,Milk,Food
चाय,Tea,Food
कॉफी,Coffee,Food
रोटी,Bread,Food
चावल,Rice,Food
दाल,Lentils,Food
सब्जी,Vegetable,Food
फल,Fruit,Food
आम,Mango,Food
केला,Banana,Food
सेब,Apple,Food
संतरा,Orange fruit,Food
अंगूर,Grapes,Food
अनार,Pomegranate,Food
नारियल,Coconut,Food
आलू,Potato,Food
प्याज,Onion,Food
टमाटर,Tomato,Food
गाजर,Carrot,Food
पालक,Spinach,Food
मिर्च,Chili,Food
नमक,Salt,Food
चीनी,Sugar,Food
घी,Clarified butter,Food
तेल,Oil,Food
मसाला,Spices,Food
अदरक,Ginger,Food
लहसुन,Garlic,Food
हल्दी,Turmeric,Food
शहद,Honey,Food
दही,Yogurt,Food
मक्खन,Butter,Food
अंडा,Egg,Food
मिठाई,Sweets,Food
लड्डू,Laddu,Food
खीर,Rice pudding,Food
नाश्ता,Breakfast,Food
दोपहर का खाना,Lunch,Food
रात का खाना,Dinner,Food
भूख लगी है,I am hungry,Food
प्यास लगी है,I am thirsty,Food
खाना बहुत स्वादिष्ट है,The food is delicious,Food
खाना पकाना,To cook food,Food
आकाश,Sky,Nature
बादल,Cloud,Nature
बारिश,Rain,Nature
तूफान,Storm,Nature
बिजली,Lightning,Nature
गरज,Thunder,Nature
इंद्रधनुष,Rainbow,Nature
हवा,Wind,Nature
गर्मी,Heat,Nature
ठंड,Cold,Nature
बर्फ,Snow,Nature
कोहरा,Fog,Nature
