hindi_phrase,english_translation,sanskrit_translation,tamil_translation,category
नमस्ते,Hello,नमस्ते,வணக்கம்,Greetings
नमस्कार,Greetings,अभिवादन,வாழ்த்துக்கள்,Greetings
सुप्रभात,Good morning,सुप्रभातम्‌,காலை வணக்கம்,Greetings
शुभ संध्या,Good evening,शुभसन्ध्या,மாலை வணக்கம்,Greetings
शुभ रात्रि,Good night,शुभरात्रि,நல்ல இரவு,Greetings
स्वागत है,Welcome,स्वागतम्‌,வரவேற்கிறோம்,Greetings
अलविदा,Goodbye,पुनर्दर्शनाय,குட்பை,Greetings
फिर मिलेंगे,See you again,पुनः पश्यामः,மீண்டும் சந்திப்போம்,Greetings
धन्यवाद,Thank you,धन्यवाद,நன்றி,Greetings
बहुत धन्यवाद,Thank you very much,नैकधन्यवादाः,மிக்க நன்றி,Greetings
कृपया,Please,कृपया,தயவுசெய்து,Greetings
क्षमा करें,Excuse me,क्षमा प्रयच्छ मे,மன்னிக்கவும்,Greetings
माफ़ कीजिए,I am sorry,क्षम्यतां,மன்னிக்கவும்,Greetings
कोई बात नहीं,No problem,कापि समस्या न,பிரச்சனை இல்லை,Greetings
हाँ,Yes,आम्‌,ஆம்,Greetings
नहीं,No,नहि,இல்லை,Greetings
शायद,Maybe,भवेत्‌,இருக்கலாம்,Greetings
ठीक है,Okay,अस्तु,சரி,Greetings
क्या हाल है,How are you,भवान्‌ कथमसि,எப்படி இருக்கிறீர்கள்,Greetings
मैं ठीक हूँ,I am fine,अहं कुशलं अस्मि,நான் நன்றாக இருக்கிறேன்,Greetings
आप कैसे हैं,How are you formal,कथं त्वं औपचारिकः असि,எப்படி ஃபார்மல்,Greetings
बहुत अच्छा,Very good,अति उत्तम,மிகவும் நல்லது,Greetings
मुझे खुशी हुई,Nice to meet you,मेलनेन बहु सन्तोषः,உங்களை சந்தித்ததில் மகிழ்ச்சி,Greetings
आपसे मिलकर अच्छा लगा,It was nice meeting you,भवता सह मिलित्वा आनन्दः अभवत्,உங்களை சந்தித்ததில் மகிழ்ச்சியாக இருந்தது,Greetings
मेरा नाम है,My name is,मम नाम अस्ति,என் பெயர்,Greetings
आपका नाम क्या है,What is your name,भवतः नाम किमस्ति,உங்கள் பெயர் என்ன,Greetings
मैं भारत से हूँ,I am from India,अहं भारतस्य अस्मि,நான் இந்தியாவைச் சேர்ந்தவன்,Greetings
आप कहाँ से हैं,Where are you from,भवान्‌ कुतः अस्ति,நீங்கள் எங்கிருந்து வருகிறீர்கள்,Greetings
मुझे हिंदी आती है,I know Hindi,अहं हिन्दीभाषां जानामि,எனக்கு ஹிந்தி தெரியும்,Greetings
मुझे थोड़ी हिंदी आती है,I know a little Hindi,अहं किञ्चित् हिन्दीभाषां जानामि,எனக்கு கொஞ்சம் ஹிந்தி தெரியும்,Greetings
धीरे बोलिए,Please speak slowly,कृपया मन्दं वदतु,தயவுசெய்து மெதுவாக பேசுங்கள்,Greetings
फिर से कहिए,Please say again,कृपया पुनः वदतु,மீண்டும் சொல்லுங்கள்,Greetings
मैं समझ गया,I understood,अहं अवगच्छामि स्म,புரிந்து கொண்டேன்,Greetings
मैं नहीं समझा,I did not understand,अहं न अवगच्छामि स्म,எனக்குப் புரியவில்லை,Greetings
एक,One,एकम्‌,ஒன்று,Numbers
दो,Two,द्वि,இரண்டு,Numbers
तीन,Three,त्रयः,மூன்று,Numbers
चार,Four,चतुः,நான்கு,Numbers
पाँच,Five,पंचं,ஐந்து,Numbers
छह,Six,षष्टं,ஆறு,Numbers
सात,Seven,सप्त,ஏழு,Numbers
आठ,Eight,अष्ट,எட்டு,Numbers
नौ,Nine,नवं,ஒன்பது,Numbers
दस,Ten,दशम,பத்து,Numbers
ग्यारह,Eleven,एकादशं,பதினோரு,Numbers
बारह,Twelve,द्विदशकं,பன்னிரண்டு,Numbers
तेरह,Thirteen,त्रयोदश,பதின்மூன்று,Numbers
चौदह,Fourteen,चतुर्दश,பதினான்கு,Numbers
पंद्रह,Fifteen,पञ्चदश,பதினைந்து,Numbers
सोलह,Sixteen,षोडशन्,பதினாறு,Numbers
सत्रह,Seventeen,सप्तदश,பதினேழு,Numbers
अठारह,Eighteen,अष्टदश,பதினெட்டு,Numbers
उन्नीस,Nineteen,एकोनविम्शति,பத்தொன்பது,Numbers
बीस,Twenty,विंशति,இருபது,Numbers
पच्चीस,Twenty five,पञ्चविंशतिः,இருபத்தி ஐந்து,Numbers
तीस,Thirty,त्रिंशत्,முப்பது,Numbers
पैंतीस,Thirty five,पञ्चत्रिंशत्,முப்பத்தி ஐந்து,Numbers
चालीस,Forty,चत्वारिंशत्,நாற்பது,Numbers
पैंतालीस,Forty five,पञ्चचत्वारिंशत्,நாற்பத்தி ஐந்து,Numbers
पचास,Fifty,पञ्चाशा,ஐம்பது,Numbers
साठ,Sixty,षष्टि,அறுபது,Numbers
सत्तर,Seventy,सप्तति,எழுபது,Numbers
अस्सी,Eighty,अशीति,எண்பது,Numbers
नब्बे,Ninety,नवति,தொண்ணூறு,Numbers
सौ,One hundred,शतं,நூறு,Numbers
हज़ार,One thousand,सहस्रम्,ஆயிரம்,Numbers
लाख,One hundred thousand,लक्षम्,ஒரு லட்சம்,Numbers
करोड़,Ten million,कोटिः,பத்து மில்லியன்,Numbers
पहला,First,प्रथमः,முதலில்,Numbers
दूसरा,Second,क्षण,இரண்டாவது,Numbers
तीसरा,Third,तृतीयं,மூன்றாவது,Numbers
आधा,Half,अर्ध,பாதி,Numbers
पूरा,Full,पूर्ण,முழு,Numbers
कुछ,Some,केचन,சில,Numbers
बहुत,Many,बहवः,பல,Numbers
थोड़ा,A little,तनिक,கொஞ்சம்,Numbers
सब,All,सर्वे,அனைத்து,Numbers
कुछ नहीं,Nothing,किमपि न,ஒன்றுமில்லை,Numbers
सोमवार,Monday,सोमवारं,திங்கட்கிழமை,Time
मंगलवार,Tuesday,मङ्गलवारः,செவ்வாய்,Time
बुधवार,Wednesday,बुधवारः,புதன்,Time
गुरुवार,Thursday,बृहस्पतिवारः,வியாழன்,Time
शुक्रवार,Friday,शुक्रवारं,வெள்ளிக்கிழமை,Time
शनिवार,Saturday,शनिवारं,சனிக்கிழமை,Time
रविवार,Sunday,रविवारं,ஞாயிறு,Time
आज,Today,अद्य,இன்று,Time
कल,Tomorrow,श्वः,நாளை,Time
बीता हुआ कल,Yesterday,ह्यः,நேற்று,Time
परसों,Day after tomorrow,श्वः परदिनम्,நாளை மறுநாள்,Time
अभी,Now,अधुना,இப்போது,Time
बाद में,Later,कालान्तरे,பின்னர்,Time
जल्दी,Early,शीघ्रम्‌,ஆரம்ப,Time
देर से,Late,विलम्बेन,தாமதமானது,Time
सुबह,Morning,प्रातः,காலை,Time
दोपहर,Noon,अपराह्न,நண்பகல்,Time
शाम,Evening,सायंकालः,மாலை,Time
रात,Night,निशा,இரவு,Time
भोर,Dawn,प्रदोषः,விடியல்,Time
आधी रात,Midnight,मध्यरात्री,நள்ளிரவு,Time
दिन,Day,दिनं,நாள்,Time
सप्ताह,Week,सप्ताहः,வாரம்,Time
महीना,Month,माह,மாதம்,Time
साल,Year,वर्ष,ஆண்டு,Time
घंटा,Hour,घटकः,மணி,Time
मिनट,Minute,क्षणं,நிமிடம்,Time
पल,Moment,क्षण,கணம்,Time
समय,Time,कालः,நேரம்,Time
समय क्या हुआ है,What time is it,कः कालः,மணி என்ன,Time
गर्मी का मौसम,Summer season,ग्रीष्मकालः,கோடை காலம்,Time
सर्दी का मौसम,Winter season,शिशिरस्य ऋतुः,குளிர்காலம்,Time
बरसात का मौसम,Rainy season,वर्षाऋतुः,மழைக்காலம்,Time
वसंत ऋतु,Spring season,वसन्तऋतुः,வசந்த காலம்,Time
हर दिन,Every day,प्रतिदिनं,ஒவ்வொரு நாளும்,Time
हर साल,Every year,प्रतिवर्षम्,ஒவ்வொரு வருடமும்,Time
कभी कभी,Sometimes,कदाचित्‌,சில சமயம்,Time
हमेशा,Always,सर्वदा,எப்போதும்,Time
