hindi_phrase,english_translation
नमस्ते,Hello
सलाम,Hello
आओ,Come
स्वागत है,Welcome
धन्यवाद,Thank you
अलविदा,Goodbye
क्या हाल है,How are you
ठीक हूँ,I am fine
मैं हूँ,I am
मेरा नाम,My name is
तुम कौन हो,Who are you
यह कौन है,Who is this
एक बार की बात है,Once upon a time
बहुत पुरानी कहानी,Very old story
एक बुजुर्ग महिला,An elderly woman
एक बुजुर्ग पुरुष,An elderly man
एक जवान लड़का,A young boy
एक जवान लड़की,A young girl
परंपरा,Tradition
संस्कृति,Culture
विरासत,Heritage
वारली,Warli
आदिवासी,Tribal
भाषा,Language
भाषा सेतु,BhashaSetu
भाषा संरक्षण,Language preservation
विलुप्त हो रहा,Disappearing
संकट में,In danger
रक्षा करना,Protect
जीवित रखना,Keep alive
आकाश,Sky
बादल,Cloud
बारिश,Rain
सूरज,Sun
चाँद,Moon
तारे,Stars
नदी,River
पहाड़,Mountain
वन,Forest
पेड़,Tree
फूल,Flower
पक्षी,Bird
मछली,Fish
जानवर,Animal
घास,Grass
खुश,Happy
दुःखी,Sad
गुस्सा,Angry
डर,Fear
आशा,Hope
प्रेम,Love
शांति,Peace
चिंता,Worry
खाना,Eat
पीना,Drink
सोना,Sleep
जागना,Wake up
घर,House
कमरा,Room
बिस्तर,Bed
कुर्सी,Chair
मेज़,Table
दरवाज़ा,Door
खिड़की,Window
सत्य,Truth
न्याय,Justice
ज्ञान,Knowledge
शिक्षा,Education
सीखना,Learn
सिखाना,Teach
किताब,Book
लिखना,Write
पढ़ना,Read
कहा,Said
सुना,Heard
देखा,Saw
समझा,Understood
जाना,Went
आना,Came
चलना,Walked
दौड़ना,Ran
बैठना,Sat
खड़ा होना,Stood
गिरना,Fell
गाना,Sang
नाचना,Danced
हँसना,Laughed
रोना,Cried
खेलना,Played
रुकना,Stopped
लेना,Took
देना,Gave
भूलना,Forgot
याद करना,Remembered
सोचना,Thought
पूछना,Asked
जवाब देना,Answered
बताना,Told
गीत,Song
संगीत,Music
नृत्य,Dance
कथा,Story
महाकाव्य,Epic
पूजा,Worship
मंदिर,Temple
पवित्र,Sacred
उत्सव,Celebration
त्योहार,Festival
रीति-रिवाज,Custom
माता,Mother
पिता,Father
भाई,Brother
बहन,Sister
परिवार,Family
दोस्त,Friend
पड़ोसी,Neighbor
अजनबी,Stranger
दिन,Day
रात,Night
सुबह,Morning
शाम,Evening
आज,Today
कल,Tomorrow
सप्ताह,Week
महीना,Month
साल,Year
समय,Time
सदियों पहले,Centuries ago
पहले के जमाने में,In the olden days
जब दुनिया नई थी,When the world was new
उस गाँव में,In that village
उस शहर में,In that city
पहाड़ों के बीच,Among mountains
नदी के किनारे,By the river
जंगल में,In the forest
समुद्र के पास,By the ocean
तारों के नीचे,Under the stars
चाँद की रोशनी में,In moonlight
सूरज निकलते ही,At sunrise
सूरज डूबते ही,At sunset
रात भर,Throughout the night
पूरे दिन,Whole day
एक समझदार व्यक्ति,A wise person
एक किसान,A farmer
एक गायक,A singer
एक कलाकार,An artist
एक शिक्षक,A teacher
एक विद्वान,A scholar
एक योद्धा,A warrior
उठाना,Picked up
रखना,Kept
छोड़ना,Released
धकेलना,Pushed
खींचना,Pulled
घुमाना,Turned
झुकना,Bent
आगे बढ़ना,Moved forward
पीछे हटना,Moved backward
ऊपर जाना,Went up
नीचे आना,Came down
बोली,Dialect
शब्द,Word
वाक्य,Sentence
व्याकरण,Grammar
उच्चारण,Pronunciation
लिपि,Script
अक्षर,Letter
स्वर,Vowel
व्यंजन,Consonant
छंद,Poetry
दोहा,Couplet
पौराणिक,Mythological
लोककथा,Folklore
सीख,Lesson
नैतिकता,Morality
धर्म,Righteousness
करुणा,Compassion
स्मरण करना,Remember
पूर्वज,Ancestors
पीढ़ी,Generation
नई पीढ़ी,New generation
अनुभव,Experience
स्कूल,School
लेखन,Writing
रिकॉर्डिंग,Recording
दस्तावेज़,Document
संग्रह,Collection
संग्रहालय,Museum
पुस्तकालय,Library
अभिलेख,Archive
इतिहास,History
साक्षात्कार,Interview
निराशा,Despair
गर्व,Pride
शर्म,Shame
घृणा,Hatred
ईर्ष्या,Jealousy
संतोष,Satisfaction
असंतोष,Dissatisfaction
रोमांच,Excitement
उबन,Boredom
तनाव,Stress
राहत,Relief
सुख,Pleasure
दर्द,Pain
कष्ट,Suffering
आनंद,Delight
मजा,Fun
हल्केपन,Lightness
गहराई,Depth
भरापन,Fullness
खालीपन,Emptiness
लालसा,Longing
तड़प,Yearning
व्यथा,Anguish
पछतावा,Regret
क्षमा,Forgiveness
कृतज्ञता,Gratitude
तूफान,Storm
बिजली,Lightning
गरज,Thunder
हवा,Wind
ब्रीज़,Breeze
गर्मी,Heat
ठंड,Cold
बर्फ,Ice
अंधकार,Darkness
प्रकाश,Light
अग्नि,Fire
पानी,Water
झरना,Waterfall
तालाब,Pond
समुद्र,Ocean
तट,Shore
रेत,Sand
पत्थर,Stone
घाटी,Valley
फल,Fruit
अनाज,Grain
जानवर,Animal
साँप,Snake
कीट,Insect
नहाना,Bathe
भोजन,Food
चाय,Tea
दूध,Milk
रोटी,Bread
चावल,Rice
सब्जी,Vegetable
कपड़े,Clothes
जूते,Shoes
टोपी,Hat
गहने,Jewelry
सजना,Decorate
खेल,Game
खिलौने,Toys
पेंसिल,Pencil
कागज़,Paper
काम,Work
व्यापार,Business
खेती,Farming
औज़ार,Tools
दादा,Grandfather
दादी,Grandmother
नाना,Grandfather maternal
नानी,Grandmother maternal
पत्नी,Wife
पति,Husband
चचेरा भाई,Cousin
ममेरी बहन,Cousin sister
मामा,Uncle maternal
मामी,Aunt maternal
चाचा,Uncle paternal
चाची,Aunt paternal
भतीजा,Nephew
भतीजी,Niece
वफादारी,Loyalty
विश्वास,Trust
सहारा,Support
साथ,Together
अकेला,Alone
मिलकर,Together
एक-दूसरे,Each other
रोबोट,Robot
कृत्रिम बुद्धि,Artificial Intelligence
यंत्र,Machine
प्रौद्योगिकी,Technology
भविष्य,Future
अतीत,Past
वर्तमान,Present
विकास,Development
प्रगति,Progress
सफलता,Success
विफलता,Failure
कठिनाई,Difficulty
समाधान,Solution
लक्ष्य,Goal
सपना,Dream
पहल,Initiative
उद्देश्य,Purpose
महत्व,Importance
मूल्य,Value
सम्मान,Respect
गरिमा,Dignity
अधिकार,Right
कर्तव्य,Duty
जिम्मेदारी,Responsibility
प्रतिबद्धता,Commitment
भूमि,Land
खेत,Field
मिट्टी,Soil
फसल,Crop
वर्षा,Rainfall
सूखा,Drought
भीमाष घोटी,Bhimaghoti festival
ढोलक,Drum
मंजीरे,Cymbals
रंग,Color
सफेद रंग,White color
लाल रंग,Red color
पीला रंग,Yellow color
पेंटिंग,Painting
चित्रकला,Art
परिपत्र,Circular pattern
त्रिभुज,Triangle
वर्ग,Square
ज्यामिति,Geometry
