hindi_phrase,english_translation,sanskrit_translation,tamil_translation,odia_translation,category
नमस्ते,Hello,नमस्ते,வணக்கம்,ନମସ୍କାର,Greetings
नमस्कार,Greetings,अभिवादन,வாழ்த்துக்கள்,ନମସ୍କାର,Greetings
सुप्रभात,Good morning,सुप्रभातम्‌,காலை வணக்கம்,ଶୁଭ ସକାଳ,Greetings
शुभ संध्या,Good evening,शुभसन्ध्या,மாலை வணக்கம்,ଶୁଭ ସନ୍ଧ୍ୟା |,Greetings
शुभ रात्रि,Good night,शुभरात्रि,நல்ல இரவு,ଶୁଭ ରାତ୍ରି |,Greetings
स्वागत है,Welcome,स्वागतम्‌,வரவேற்கிறோம்,ସ୍ Welcome ାଗତ,Greetings
अलविदा,Goodbye,पुनर्दर्शनाय,குட்பை,ବିଦାୟ,Greetings
फिर मिलेंगे,See you again,पुनः पश्यामः,மீண்டும் சந்திப்போம்,ପୁନର୍ବାର ଦେଖା ହେବ |,Greetings
धन्यवाद,Thank you,धन्यवाद,நன்றி,ଧନ୍ୟବାଦ,Greetings
बहुत धन्यवाद,Thank you very much,नैकधन्यवादाः,மிக்க நன்றி,ଆପଣଙ୍କୁ ବହୁତ ଧନ୍ୟବାଦ,Greetings
कृपया,Please,कृपया,தயவுசெய்து,ଦୟାକରି,Greetings
क्षमा करें,Excuse me,क्षमा प्रयच्छ मे,மன்னிக்கவும்,କ୍ଷମା କରିବେ,Greetings
माफ़ कीजिए,I am sorry,क्षम्यतां,மன்னிக்கவும்,ମୁଁ ଦୁ sorry ଖିତ,Greetings
कोई बात नहीं,No problem,कापि समस्या न,பிரச்சனை இல்லை,କିଛି ଅସୁବିଧା ନାହିଁ |,Greetings
हाँ,Yes,आम्‌,ஆம்,ହଁ,Greetings
नहीं,No,नहि,இல்லை,ନା,Greetings
शायद,Maybe,भवेत्‌,இருக்கலாம்,ବୋଧହୁଏ |,Greetings
ठीक है,Okay,अस्तु,சரி,ଠିକ ଅଛି |,Greetings
क्या हाल है,How are you,भवान्‌ कथमसि,எப்படி இருக்கிறீர்கள்,ଆପଣ କେମିତି ଅଛନ୍ତି,Greetings
