hindi_phrase,english_translation,sanskrit_translation,category
नमस्ते,Hello,नमस्ते,Greetings
नमस्कार,Greetings,अभिवादन,Greetings
सुप्रभात,Good morning,सुप्रभातम्‌,Greetings
शुभ संध्या,Good evening,शुभसन्ध्या,Greetings
शुभ रात्रि,Good night,शुभरात्रि,Greetings
स्वागत है,Welcome,स्वागतम्‌,Greetings
अलविदा,Goodbye,पुनर्दर्शनाय,Greetings
फिर मिलेंगे,See you again,पुनः पश्यामः,Greetings
धन्यवाद,Thank you,धन्यवाद,Greetings
बहुत धन्यवाद,Thank you very much,नैकधन्यवादाः,Greetings
कृपया,Please,कृपया,Greetings
क्षमा करें,Excuse me,क्षमा प्रयच्छ मे,Greetings
माफ़ कीजिए,I am sorry,क्षम्यतां,Greetings
कोई बात नहीं,No problem,कापि समस्या न,Greetings
हाँ,Yes,आम्‌,Greetings
नहीं,No,नहि,Greetings
शायद,Maybe,भवेत्‌,Greetings
ठीक है,Okay,अस्तु,Greetings
क्या हाल है,How are you,भवान्‌ कथमसि,Greetings
मैं ठीक हूँ,I am fine,अहं कुशलं अस्मि,Greetings
आप कैसे हैं,How are you formal,कथं त्वं औपचारिकः असि,Greetings
बहुत अच्छा,Very good,अति उत्तम,Greetings
मुझे खुशी हुई,Nice to meet you,मेलनेन बहु सन्तोषः,Greetings
आपसे मिलकर अच्छा लगा,It was nice meeting you,भवता सह मिलित्वा आनन्दः अभवत्,Greetings
मेरा नाम है,My name is,मम नाम अस्ति,Greetings
आपका नाम क्या है,What is your name,भवतः नाम किमस्ति,Greetings
मैं भारत से हूँ,I am from India,अहं भारतस्य अस्मि,Greetings
आप कहाँ से हैं,Where are you from,भवान्‌ कुतः अस्ति,Greetings
मुझे हिंदी आती है,I know Hindi,अहं हिन्दीभाषां जानामि,Greetings
मुझे थोड़ी हिंदी आती है,I know a little Hindi,अहं किञ्चित् हिन्दीभाषां जानामि,Greetings
धीरे बोलिए,Please speak slowly,कृपया मन्दं वदतु,Greetings
फिर से कहिए,Please say again,कृपया पुनः वदतु,Greetings
मैं समझ गया,I understood,अहं अवगच्छामि स्म,Greetings
मैं नहीं समझा,I did not understand,अहं न अवगच्छामि स्म,Greetings
एक,One,एकम्‌,Numbers
दो,Two,द्वि,Numbers
तीन,Three,त्रयः,Numbers
चार,Four,चतुः,Numbers
पाँच,Five,पंचं,Numbers
छह,Six,षष्टं,Numbers
सात,Seven,सप्त,Numbers
आठ,Eight,अष्ट,Numbers
नौ,Nine,नवं,Numbers
दस,Ten,दशम,Numbers
ग्यारह,Eleven,एकादशं,Numbers
बारह,Twelve,द्विदशकं,Numbers
तेरह,Thirteen,त्रयोदश,Numbers
चौदह,Fourteen,चतुर्दश,Numbers
पंद्रह,Fifteen,पञ्चदश,Numbers
सोलह,Sixteen,षोडशन्,Numbers
सत्रह,Seventeen,सप्तदश,Numbers
अठारह,Eighteen,अष्टदश,Numbers
उन्नीस,Nineteen,एकोनविम्शति,Numbers
बीस,Twenty,विंशति,Numbers
पच्चीस,Twenty five,पञ्चविंशतिः,Numbers
तीस,Thirty,त्रिंशत्,Numbers
पैंतीस,Thirty five,पञ्चत्रिंशत्,Numbers
चालीस,Forty,चत्वारिंशत्,Numbers
पैंतालीस,Forty five,पञ्चचत्वारिंशत्,Numbers
पचास,Fifty,पञ्चाशा,Numbers
साठ,Sixty,षष्टि,Numbers
सत्तर,Seventy,सप्तति,Numbers
अस्सी,Eighty,अशीति,Numbers
नब्बे,Ninety,नवति,Numbers
सौ,One hundred,शतं,Numbers
हज़ार,One thousand,सहस्रम्,Numbers
लाख,One hundred thousand,लक्षम्,Numbers
करोड़,Ten million,कोटिः,Numbers
पहला,First,प्रथमः,Numbers
दूसरा,Second,क्षण,Numbers
तीसरा,Third,तृतीयं,Numbers
आधा,Half,अर्ध,Numbers
पूरा,Full,पूर्ण,Numbers
कुछ,Some,केचन,Numbers
बहुत,Many,बहवः,Numbers
थोड़ा,A little,तनिक,Numbers
सब,All,सर्वे,Numbers
कुछ नहीं,Nothing,किमपि न,Numbers
सोमवार,Monday,सोमवारं,Time
मंगलवार,Tuesday,मङ्गलवारः,Time
बुधवार,Wednesday,बुधवारः,Time
गुरुवार,Thursday,बृहस्पतिवारः,Time
शुक्रवार,Friday,शुक्रवारं,Time
शनिवार,Saturday,शनिवारं,Time
रविवार,Sunday,रविवारं,Time
आज,Today,अद्य,Time
कल,Tomorrow,श्वः,Time
बीता हुआ कल,Yesterday,ह्यः,Time
परसों,Day after tomorrow,श्वः परदिनम्,Time
अभी,Now,अधुना,Time
बाद में,Later,कालान्तरे,Time
जल्दी,Early,शीघ्रम्‌,Time
देर से,Late,विलम्बेन,Time
सुबह,Morning,प्रातः,Time
दोपहर,Noon,अपराह्न,Time
शाम,Evening,सायंकालः,Time
रात,Night,निशा,Time
भोर,Dawn,प्रदोषः,Time
आधी रात,Midnight,मध्यरात्री,Time
दिन,Day,दिनं,Time
सप्ताह,Week,सप्ताहः,Time
महीना,Month,माह,Time
साल,Year,वर्ष,Time
घंटा,Hour,घटकः,Time
मिनट,Minute,क्षणं,Time
पल,Moment,क्षण,Time
समय,Time,कालः,Time
समय क्या हुआ है,What time is it,कः कालः,Time
गर्मी का मौसम,Summer season,ग्रीष्मकालः,Time
सर्दी का मौसम,Winter season,शिशिरस्य ऋतुः,Time
बरसात का मौसम,Rainy season,वर्षाऋतुः,Time
वसंत ऋतु,Spring season,वसन्तऋतुः,Time
हर दिन,Every day,प्रतिदिनं,Time
