timestamp,detected_language,original_text,english,hindi,tamil,sanskrit,odia
2026-07-26 16:16:19,en-IN,Hello.,Hello.,नमस्ते।,வணக்கம்.,नमस्ते।,ନମସ୍କାର
2026-07-26 16:43:22,recordings/2026-07-26_16-42-19.wav,hi-IN,जेन्युइनली शॉप। सर वो स्कूल में यूट्यूब देखता है।,"Genuinely Shop. Sir, he watches YouTube in school.",जेन्युइनली शॉप। सर वो स्कूल में यूट्यूब देखता है।,"உண்மையாக ஷாப்பிங். ஐயா, பள்ளியில் யூடியூப் பார்ப்பார்.","यथार्थतः शॉप। महोदय, सः विद्यालये यूट्यूबं पश्यति।","ପ୍ରକୃତରେ ଦୋକାନ କରନ୍ତୁ | ସାର୍, ସେ ସ୍କୁଲରେ ୟୁଟ୍ୟୁବ୍ ଦେଖନ୍ତି |"
2026-07-26 16:49:11,recordings/2026-07-26_16-48-15.wav,pa-IN,ਅਯਾਂਸ਼ ਅਗਰਵਾਲ ਐਂਡ ਰਿਆਨ ਲੈਵਲਾ ਪਲੇ ਮਾਈਨਕਰਾਫਟ।,Ayansh Aggarwal and Ryan Lavella play Minecraft.,अयांश अग्रवाल और रयान लावेल्ला माइनक्राफ्ट खेलते हैं।,அயன்ஷ் அகர்வால் மற்றும் ரியான் லவெல்லா ஆகியோர் Minecraft ஆக நடித்துள்ளனர்.,अयान्श अग्रवालः रायन् लवेल्ला च माइनक्राफ्ट् इति भूमिकां निर्वहन्ति ।,ଆୟାନ୍ ଅଗ୍ରୱାଲ୍ ଏବଂ ରିଆନ୍ ଲାଭେଲା ମାଇନାକ୍ରାଫ୍ଟ ଖେଳନ୍ତି |
2026-07-26 16:50:00,recordings/2026-07-26_16-49-15.wav,en-IN,Yashas is very smart but he is very dumb.,Yashas is very smart but he is very dumb.,यशस बहुत होशियार है लेकिन वह बहुत मूर्ख है।,யஷாஸ் மிகவும் புத்திசாலி ஆனால் மிகவும் ஊமை.,यशः अतीव स्मार्टः अस्ति किन्तु सः अतीव मूकः अस्ति।,ଯଶ ବହୁତ ସ୍ମାର୍ଟ କିନ୍ତୁ ସେ ବହୁତ ମୂକ |
2026-07-26 17:51:58,recordings/2026-07-26_17-51-23.wav,en-IN,Hello. Hello. Hello. Hello.,Hello. Hello. Hello. Hello.,नमस्ते। नमस्ते। नमस्ते। नमस्ते।,வணக்கம். வணக்கம். வணக்கம். வணக்கம்.,नमस्ते। नमस्ते। नमस्ते। नमस्ते।,ନମସ୍କାର ନମସ୍କାର ନମସ୍କାର ନମସ୍କାର
2026-07-26 17:52:36,recordings/2026-07-26_17-52-10.wav,en-IN,"Hi, how are you?","Hi, how are you?","हैलो, क्या हाल हैं?","வணக்கம், நலமா?",हे त्वं किदं असि?,"ହାଏ, ତୁମେ କେମିତି ଅଛ?"
2026-07-26 17:55:22,recordings/2026-07-26_17-54-43.wav,en-IN,"Hello, My name is Siddharth.","Hello, My name is Siddharth.","नमस्ते, मेरा नाम सिद्धार्थ है।","வணக்கம், என் பெயர் சித்தார்த்.","नमस्कार, मम नाम सिद्धार्थः।","ନମସ୍କାର, ମୋର ନାମ ସିଦ୍ଧାର୍ଥ |","ਹੈਲੋ, ਮੇਰਾ ਨਾਮ ਸਿਧਾਰਥ ਹੈ।"
2026-07-26 18:02:21,recordings/2026-07-26_18-01-49.wav,en-IN,"Hi, how are you?","Hi, how are you?","हैलो, क्या हाल हैं?","வணக்கம், நலமா?",हे त्वं किदं असि?,"ହାଏ, ତୁମେ କେମିତି ଅଛ?",ਹਾਏ ਤੁਸੀਂ ਕਿਵੇਂ ਹੋ?
2026-07-26 18:02:52,recordings/2026-07-26_18-02-27.wav,en-IN,Hello,Hello,नमस्ते,வணக்கம்,नमस्ते,ନମସ୍କାର,ਸਤ ਸ੍ਰੀ ਅਕਾਲ
2026-07-26 18:16:19,recordings/2026-07-26_18-15-21.wav,hi-IN,"मैं बोलता हूं, अब गिरन तक तू झूठ क्यों बोलता है?","I say, now why do you lie till you fall?","मैं बोलता हूं, अब गिरन तक तू झूठ क्यों बोलता है?","நான் சொல்கிறேன், இப்போது ஏன் விழும் வரை பொய் சொல்கிறாய்?","अहं वदामि, इदानीं किमर्थं त्वं यावत् पतसि तावत् मृषा वदसि?","ମୁଁ କହୁଛି, ବର୍ତ୍ତମାନ ତୁମେ ପଡ଼ିବା ପର୍ଯ୍ୟନ୍ତ କାହିଁକି ମିଛ କହୁଛ?","ਮੈਂ ਆਖਦਾ ਹਾਂ, ਹੁਣ ਤੁਸੀਂ ਡਿੱਗਣ ਤੱਕ ਕਿਉਂ ਝੂਠ ਬੋਲਦੇ ਹੋ?"
2026-07-26 18:17:40,recordings/2026-07-26_18-16-20.wav,hi-IN,क्या बोलूं अच्छा? हाउ आर यू डूइंग? हाउ इज योर डे? हिंदी में बोलूं?,Well what can I say? How are you doing? How is your day? Should I speak in Hindi?,क्या बोलूं अच्छा? हाउ आर यू डूइंग? हाउ इज योर डे? हिंदी में बोलूं?,சரி நான் என்ன சொல்ல முடியும்? எப்படி இருக்கிறீர்கள்? உங்கள் நாள் எப்படி இருக்கிறது? நான் இந்தியில் பேச வேண்டுமா?,साधु किं वक्तुं शक्नोमि ? भवान्‌ कथम् असि? भवतः दिवसः कथं अस्ति ? मया हिन्दीभाषायां वक्तव्यं वा ?,ଠିକ୍ ମୁଁ କ’ଣ କହିପାରେ? ଆପଣ କେମିତି ଅଛନ୍ତି? ତୁମର ଦିନ କେମିତି ଅଛି? ମୁଁ ହିନ୍ଦୀରେ କହିବି କି?,ਖੈਰ ਮੈਂ ਕੀ ਕਹਿ ਸਕਦਾ ਹਾਂ? ਤੁਸੀਂ ਕਿਵੇਂ ਹੋ? ਤੁਹਾਡਾ ਦਿਨ ਕਿਹੋ ਜਿਹਾ ਰਿਹਾ? ਕੀ ਮੈਨੂੰ ਹਿੰਦੀ ਵਿੱਚ ਗੱਲ ਕਰਨੀ ਚਾਹੀਦੀ ਹੈ?
2026-07-26 18:18:29,recordings/2026-07-26_18-17-52.wav,pa-IN,ਸਿੱਖਿਆ ਬਹੁਤ ਮਹੱਤਵਪੂਰਨ ਹੁੰਦੀ ਹੈ।,Education is very important.,शिक्षा बहुत महत्वपूर्ण है.,கல்வி மிகவும் முக்கியமானது.,शिक्षा अतीव महत्त्वपूर्णा अस्ति।,ଶିକ୍ଷା ଅତ୍ୟନ୍ତ ଗୁରୁତ୍ୱପୂର୍ଣ୍ଣ |,ਸਿੱਖਿਆ ਬਹੁਤ ਮਹੱਤਵਪੂਰਨ ਹੁੰਦੀ ਹੈ।
2026-07-26 20:31:45,recordings/2026-07-26_20-31-26.wav,en-IN,"Hi there, how are you?",,आपका अभिवादन आपके हालचाल कैसे हैं?,,,,
2026-07-26 20:57:12,recordings/2026-07-26_20-56-51.wav,en-IN,"Hi, How are you?",,"हैलो, क्या हाल हैं?",,हे त्वं किदं असि?,,
2026-07-26 20:58:13,recordings/2026-07-26_20-57-55.wav,en-IN,"Hi, How are you?",,"हैलो, क्या हाल हैं?",,हे त्वं किदं असि?,,
2026-07-27 09:17:36,recordings/2026-07-27_09-16-25.wav,en-IN,"Hello, what is your name? Claude is better than Chat GPT. Okay, Anand Joshi.","Hello, what is your name? Claude is better than Chat GPT. Okay, Anand Joshi.","नमस्कार, आपका नाम क्या है? क्लाउड चैट जीपीटी से बेहतर है. ठीक है, आनंद जोशी।","வணக்கம், உங்கள் பெயர் என்ன? Claude Chat GPT ஐ விட சிறந்தது. ஓகே, ஆனந்த் ஜோஷி.","नमस्कार, भवतः नाम किम् ? Claude Chat GPT इत्यस्मात् श्रेष्ठः अस्ति। ठीकम् आनन्द जोशी।","ନମସ୍କାର, ତୁମର ନାମ କ’ଣ? ଚାଟ୍ GPT ଅପେକ୍ଷା କ୍ଲାଉଡ୍ ଭଲ | ଠିକ ଅଛି, ଆନନ୍ଦ ଯୋଶୀ |","ਹੈਲੋ, ਤੁਹਾਡਾ ਨਾਮ ਕੀ ਹੈ? ਕਲਾਉਡ ਚੈਟ GPT ਨਾਲੋਂ ਬਿਹਤਰ ਹੈ। ਠੀਕ ਹੈ, ਆਨੰਦ ਜੋਸ਼ੀ।"
